"","filename","Comparison1","Comparison2","ScatterDiff","LocationDiff","alpha","method"
"145","1R_R90_1351142970_988_5_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.90",0.451760582216376,0.0370074817749983,0.9,"MCD"
"146","1R_R90_1351142970_988_5_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","PCS 0.51",20.2890440214207,0.410379910561729,0.51,"PCS"
"147","1R_R90_1351142970_988_5_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","PCS 0.75",5.50364280255516,0.0990400984434536,0.75,"PCS"
"148","1R_R90_1351142970_988_5_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","PCS 0.90",1.178792050417,0.0260805909364854,0.9,"PCS"
"149","1R_R90_1351142970_988_5_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","All","Neutral",683.768130979375,0.130978289296846,NA,NA
"150","1R_R90_1351142970_988_5_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","All","MCD 0.75",606.430819334665,0.333327244532045,0.75,"MCD"
"151","1R_R90_1351142970_988_5_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","All","MCD 0.90",649.638191088257,0.306287324721515,0.9,"MCD"
"152","1R_R90_1351142970_988_5_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval","Neutral","All",16.850913663058,0.0250400707153823,NA,NA
"153","1R_R90_1351142970_988_5_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval","Neutral","MCD 0.51",0.00590596077642485,0.0531196972980657,0.51,"MCD"
"154","1R_R90_1351142970_988_5_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval","Neutral","MCD 0.75",0.00553402144338881,0.0345615920814981,0.75,"MCD"
"155","1R_R90_1351142970_988_5_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval","Neutral","MCD 0.90",0.0208373188643528,0.0228137085323893,0.9,"MCD"
"156","1R_R90_1351142970_988_5_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval","Neutral","PCS 0.51",3.72240193078512,0.31996394938318,0.51,"PCS"
"157","1R_R90_1351142970_988_5_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval","Neutral","PCS 0.75",1.57671402331739,0.0976211373586204,0.75,"PCS"
"158","1R_R90_1351142970_988_5_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval","Neutral","PCS 0.90",0.457593173606762,0.0174238854696251,0.9,"PCS"
"159","1R_R90_1351142970_988_5_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval","All","Neutral",16.850913663058,0.0250400707153823,NA,NA
"160","1R_R90_1351142970_988_5_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval","All","MCD 0.75",17.247016227797,0.11634873567043,0.75,"MCD"
"161","1R_R90_1351142970_988_5_NumPops=90_NumInd=6Bayenv2LFMMpca.Cpval","All","MCD 0.90",18.0212341243247,0.0944644413428825,0.9,"MCD"
"162","1R_R90_1351142986_950_9_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","All",924.829975176388,0.131440439919587,NA,NA
